1	2.0
2	1.0
3	1.0
4	1.0
5	1.0
6	7.0
7	1.0
8	2.0
9	7.0
10	6.0
11	8.0
12	1.0
13	13.0
14	1.0
15	8.0
16	1.0
17	1.0
18	1.0
19	1.0
20	12.0
21	6.0
22	2.0
23	5.0
24	10.0
25	2.0
26	3.0
27	3.0
28	4.0
29	1.0
30	4.0
31	1.0
32	1.0
33	3.0
34	2.0
35	2.0
36	1.0
37	2.0
38	3.0
39	2.0
40	5.0
41	1.0
42	11.0
43	5.0
44	1.0
45	1.0
46	2.0
47	4.0
48	2.0
49	1.0
50	3.0
51	4.0
52	2.0
53	1.0
54	1.0
55	3.0
56	1.0
57	3.0
58	1.0
59	1.0
60	4.0
61	5.0
62	1.0
63	4.0
64	4.0
65	11.0
66	1.0
67	1.0
68	1.0
69	1.0
70	2.0
71	4.0
72	1.0
73	2.0
74	10.0
75	1.0
76	1.0
77	6.0
78	2.0
79	3.0
80	4.0
81	1.0
82	3.0
83	2.0
84	1.0
85	4.0
86	1.0
87	7.0
88	3.0
89	9.0
90	1.0
91	3.0
92	6.0
93	3.0
94	2.0
95	1.0
96	2.0
97	2.0
98	2.0
99	1.0
100	1.0
101	6.0
102	6.0
103	4.0
104	5.0
105	3.0
106	1.0
107	3.0
108	1.0
109	2.0
110	2.0
111	1.0
112	1.0
113	1.0
114	1.0
115	1.0
116	5.0
117	1.0
118	6.0
119	6.0
120	1.0
121	1.0
122	3.0
123	1.0
124	2.0
125	1.0
126	3.0
127	1.0
128	1.0
129	1.0
130	1.0
131	3.0
132	1.0
133	3.0
134	3.0
135	2.0
136	1.0
137	1.0
138	3.0
139	2.0
140	4.0
141	1.0
142	2.0
143	1.0
144	3.0
145	2.0
146	1.0
147	1.0
148	1.0
149	1.0
150	3.0
151	1.0
152	1.0
153	1.0
154	1.0
155	3.0
156	2.0
157	1.0
158	1.0
159	2.0
160	7.0
161	6.0
162	1.0
163	1.0
164	13.0
165	2.0
166	1.0
167	1.0
168	1.0
169	5.0
170	2.0
171	2.0
172	3.0
173	2.0
174	2.0
175	2.0
176	1.0
177	5.0
178	2.0
179	1.0
180	1.0
181	2.0
182	1.0
183	1.0
184	1.0
185	3.0
186	3.0
187	1.0
188	4.0
189	1.0
190	1.0
191	1.0
192	1.0
193	3.0
194	5.0
195	2.0
196	1.0
197	2.0
198	2.0
199	2.0
200	1.0
201	2.0
202	1.0
203	3.0
204	1.0
205	3.0
206	1.0
207	1.0
208	1.0
209	1.0
210	4.0
211	2.0
212	1.0
213	3.0
214	1.0
215	1.0
216	2.0
217	4.0
218	1.0
219	2.0
220	1.0
221	1.0
222	1.0
223	2.0
224	1.0
225	1.0
226	1.0
227	1.0
228	1.0
229	3.0
230	1.0
231	1.0
232	1.0
233	1.0
234	1.0
235	2.0
236	1.0
237	1.0
