Node	dA	dNL	dNC	dH	dLCP	dIIC	dIICintra	dIICflux	dIICconnector	dF	dAWF	dPC	dPCintra	dPCflux	dPCconnector	
454	0.0694927	0.2642444	0.0000000	0.3144947	0.1389371	0.1254245	0.0002773	0.1249873	-0.0023990	0.2539697	0.1398835	0.1905488	0.0006289	0.1335714	0.0578949	
455	0.2084781	0.2807597	0.0000000	0.3162629	0.4165216	0.3761954	0.0024955	0.3735754	-0.0024344	0.2702358	0.4250891	0.4005829	0.0056599	0.3875113	0.0089581	
456	0.8339124	0.2972750	0.0000000	0.3192190	1.6608710	1.5059690	0.0399279	1.4654650	-0.0019828	0.2790740	1.5918560	1.6868460	0.0905579	1.4422060	0.1556292	
457	0.4169562	0.2642444	0.0000000	0.3085687	0.8321739	0.7132428	0.0099820	0.7033001	-0.0025982	0.2579813	0.7359008	0.7087410	0.0226395	0.6860542	0.0015937	
458	0.0694927	0.2807597	0.0000000	0.3162629	0.1389371	0.1255111	0.0002773	0.1250797	-0.0024048	0.2649059	0.1418664	0.1428330	0.0006289	0.1333144	0.0104360	
459	0.0694927	0.2807597	0.0000000	0.3162629	0.1389371	0.1255111	0.0002773	0.1250797	-0.0024048	0.2639278	0.1410503	0.1424301	0.0006289	0.1332625	0.0100851	
460	0.1389854	0.2807597	0.0000000	0.3162629	0.2777776	0.2509876	0.0011091	0.2496048	-0.0022853	0.2619220	0.2795310	0.3502140	0.0025155	0.2639632	0.0852817	
461	0.0694927	0.2477291	0.0000000	0.3049771	0.1389371	0.1182239	0.0002773	0.1177897	-0.0024020	0.2480799	0.1258626	0.1210582	0.0006289	0.1204611	0.0015146	
462	0.1389854	0.2807597	0.0000000	0.3103368	0.2777776	0.2409363	0.0011091	0.2396092	-0.0023409	0.2586901	0.2684495	0.2809200	0.0025155	0.2637113	0.0162395	
463	1.4593470	0.2807597	0.0000000	0.3103368	2.8973970	2.5279940	0.1222791	2.4052630	-0.0021072	0.2787125	2.3191870	2.7680380	0.2773335	2.2706930	0.2215584	
464	0.0694927	0.2642444	0.0000000	0.5143225	0.1389371	0.2919985	0.0002773	0.1173832	0.1717792	0.2178726	0.0970621	0.1369373	0.0006289	0.0997096	0.0381452	
465	0.0694927	0.2312139	0.0000000	0.2854101	0.1389371	0.1114653	0.0002773	0.1110737	-0.0024446	0.2156258	0.0947412	0.1341172	0.0006289	0.0993619	0.0356728	
466	0.0694927	0.2312139	0.0000000	0.2854101	0.1389371	0.1114653	0.0002773	0.1110737	-0.0024446	0.2049378	0.0853430	0.1158406	0.0006289	0.0898839	0.0268741	
467	0.0694927	0.1486375	0.0000000	0.2929938	0.1389371	0.1304761	0.0002773	0.0963189	0.0313210	0.1723490	0.0568103	0.0553114	0.0006289	0.0542531	0.0019758	
468	0.2779708	0.1651528	0.0000000	0.3150749	0.5551689	0.4627838	0.0044364	0.4226470	0.0331414	0.1922864	0.2713314	0.3344627	0.0100620	0.2852222	0.0407249	
469	0.0694927	0.1486375	0.0000000	0.2754919	0.1389371	0.1039962	0.0002773	0.1035793	-0.0024194	0.1875873	0.0673435	0.0896342	0.0006289	0.0707232	0.0198284	
470	0.0694927	0.1486375	0.0000000	0.2754919	0.1389371	0.1039962	0.0002773	0.1035793	-0.0024194	0.1872471	0.0664190	0.0843379	0.0006289	0.0697610	0.0154943	
471	0.3474635	0.3468208	0.0000000	0.2735649	0.6937197	0.4813353	0.0069319	0.4741188	-0.0022743	0.2182908	0.3032944	0.3181120	0.0157218	0.2890733	0.0148632	
472	0.1389854	0.3468208	0.0000000	0.2735649	0.2777776	0.1927421	0.0011091	0.1913112	-0.0022371	0.2202115	0.1308231	0.1416539	0.0025155	0.1228947	0.0177900	
473	0.1389854	0.3303055	0.0000000	0.2570922	0.2777776	0.1811658	0.0011091	0.1797144	-0.0022166	0.2277244	0.1290060	0.1242124	0.0025155	0.1194110	0.0038322	
474	0.1389854	0.3633361	0.0000000	0.2606285	0.2777776	0.1819110	0.0011091	0.1804538	-0.0022109	0.2501566	0.1364085	0.1270227	0.0025155	0.1218126	0.0042410	
475	0.0694927	0.3633361	0.0000000	0.2562841	0.1389371	0.0892225	0.0002773	0.0888204	-0.0024340	0.2438912	0.0660938	0.0626811	0.0006289	0.0589757	0.0046228	
476	0.0694927	0.3633361	0.0000000	0.2606285	0.1389371	0.0908775	0.0002773	0.0905042	-0.0024629	0.2560535	0.0729225	0.0745805	0.0006289	0.0662225	0.0092755	
477	0.0694927	0.3798514	0.0000000	0.2580523	0.1389371	0.0894998	0.0002773	0.0890976	-0.0024340	0.2442668	0.0661257	0.0628972	0.0006289	0.0589190	0.0048956	
478	0.2084781	0.3468208	0.0000000	0.2735649	0.4165216	0.2888012	0.0024955	0.2861349	-0.0023881	0.2215440	0.1920967	0.2013871	0.0056599	0.1779812	0.0192924	
479	0.1389854	0.3963666	0.0000000	0.2598204	0.2777776	0.1793808	0.0011091	0.1778255	-0.0021128	0.2454859	0.1301792	0.1207340	0.0025155	0.1147009	0.0050639	
480	0.0694927	0.3633361	0.0000000	0.2562841	0.1389371	0.0892225	0.0002773	0.0888204	-0.0024340	0.2686765	0.0760531	0.0734210	0.0006289	0.0682479	0.0060906	
481	0.2084781	0.3633361	0.0000000	0.2562841	0.4165216	0.2676068	0.0024955	0.2647974	-0.0022450	0.2758350	0.2260808	0.2160772	0.0056599	0.2019183	0.0100453	
482	0.1389854	0.3798514	0.0000000	0.2580523	0.2777776	0.1791902	0.0011091	0.1776407	-0.0021185	0.2806970	0.1557916	0.1436682	0.0025155	0.1374484	0.0052507	
483	0.6254343	0.3798514	0.0000000	0.2580523	1.2469570	0.8046228	0.0224594	0.7819147	-0.0023102	0.2836313	0.6135387	0.6257395	0.0509388	0.5492073	0.0271397	
484	0.0694927	0.3963666	0.0000000	0.2598204	0.1389371	0.0895864	0.0002773	0.0891901	-0.0024398	0.2776919	0.0784314	0.0705322	0.0006289	0.0698902	0.0015594	
485	0.2084781	0.4128819	0.0000000	0.2476299	0.4165216	0.2532144	0.0024955	0.2504559	-0.0022959	0.2201477	0.1746583	0.1591837	0.0056599	0.1534887	0.0015815	
486	0.0694927	0.3963666	0.0000000	0.2598204	0.1389371	0.0895864	0.0002773	0.0891901	-0.0024398	0.2746301	0.0775834	0.0696871	0.0006289	0.0691333	0.0014712	
487	0.0694927	0.3963666	0.0000000	0.2598204	0.1389371	0.0895864	0.0002773	0.0891901	-0.0024398	0.2728652	0.0783166	0.0942230	0.0006289	0.0708211	0.0243193	
488	0.0694927	0.4293972	0.0000000	0.2517740	0.1389371	0.0854273	0.0002773	0.0842247	-0.0016336	0.2381431	0.0663042	0.0617279	0.0006289	0.0577430	0.0049024	
489	0.2084781	0.4128819	0.0000000	0.2742349	0.4165216	0.2733083	0.0024955	0.2661838	0.0020702	0.2748640	0.2257302	0.2402004	0.0056599	0.2044028	0.0316840	
490	0.0694927	0.4128819	0.0000000	0.2476299	0.1389371	0.0844915	0.0002773	0.0840399	-0.0023846	0.2330755	0.0652075	0.0593893	0.0006289	0.0573460	0.0029608	
491	0.1389854	0.3798514	0.0000000	0.2580523	0.2777776	0.1791902	0.0011091	0.1776407	-0.0021185	0.2590090	0.1464061	0.1325352	0.0025155	0.1301225	0.0014435	
492	0.1389854	0.3963666	0.0000000	0.2598204	0.2777776	0.1793808	0.0011091	0.1778255	-0.0021128	0.2532610	0.1427782	0.1297053	0.0025155	0.1271611	0.0015749	
493	0.6949270	0.3963666	0.0000000	0.2432924	1.3850250	0.8225852	0.0277277	0.7942417	-0.0019431	0.2294892	0.5252053	0.5832610	0.0628874	0.4599459	0.0619740	
494	0.2084781	0.3468208	0.0000000	0.2362060	0.4165216	0.2454680	0.0024955	0.2427089	-0.0022953	0.2057812	0.1713363	0.1864710	0.0056599	0.1598358	0.0225216	
495	0.0694927	0.2807597	0.0000000	0.2291334	0.1389371	0.0806702	0.0002773	0.0801636	-0.0023295	0.2010183	0.0582640	0.0663757	0.0006289	0.0557108	0.0115823	
496	0.0694927	0.1981833	0.0000000	0.2202927	0.1389371	0.0800290	0.0002773	0.0795166	-0.0023238	0.1921872	0.0545150	0.0535034	0.0006289	0.0526121	0.0018088	
497	0.1389854	0.1816680	0.0000000	0.2058920	0.2777776	0.1505267	0.0011091	0.1490913	-0.0022326	0.1834623	0.0986370	0.1046977	0.0025155	0.0952737	0.0084548	
498	0.0694927	0.1816680	0.0000000	0.2058920	0.1389371	0.0754453	0.0002773	0.0748229	-0.0022138	0.1774733	0.0490635	0.0552918	0.0006289	0.0488392	0.0073700	
499	0.1389854	0.1816680	0.0000000	0.2058920	0.2777776	0.1505267	0.0011091	0.1490913	-0.0022326	0.1670971	0.0887669	0.0962472	0.0025155	0.0906406	0.0046374	
500	0.2084781	0.1816680	0.0000000	0.2058920	0.4165216	0.2255041	0.0024955	0.2228051	-0.0023554	0.1624193	0.1249954	0.1300197	0.0056599	0.1237185	0.0021877	
501	0.0694927	0.1321222	0.0000000	0.1959255	0.1389371	0.0731578	0.0002773	0.0726347	-0.0023131	0.1476133	0.0406662	0.0425866	0.0006289	0.0420416	0.0014624	
